species,mismatch_count_fwd,mismatch_count_rev,amplicon_length,status,boundary_irregular
Corynebacterium urealyticum,3,7,,no_match_rev,False
Cerasibacillus terrae,6,7,,no_match_both,False
Corynebacterium amycolatum,4,6,,no_match_rev,False
Luteimonas dalianensis,4,1,989,success,False
Halomonas pellis,4,6,,no_match_rev,False
Corynebacterium freneyi,4,6,,no_match_rev,False
Gallibacterium anatis,4,9,,no_match_rev,False
Corynebacterium aurimucosum,4,7,,no_match_rev,False
Oceanisphaera avium,6,8,,no_match_both,False
Pusillimonas noertemannii,5,7,,no_match_both,False
Halopseudomonas pertucinogena,5,6,,no_match_both,False
Shigella boydii,6,9,,no_match_both,False
Pelagibacterium sediminicola,5,6,,no_match_both,False
Nitrosomonas stercoris,5,7,,no_match_both,False
Galbibacter marinus,5,8,,no_match_both,False
Luteimonas yindakuii,5,6,,no_match_both,False
Escherichia coli,4,3,,insufficient_sequence,True
Paralcaligenes ureilyticus,4,2,995,success,False
Sphingobacterium lactis,6,7,,no_match_both,False
Alcaligenes faecalis,5,0,,no_match_fwd,False
Oligella ureolytica,7,8,,no_match_both,False
Pseudomonas saudimassiliensis,4,6,,no_match_rev,False
Castellaniella ginsengisoli,5,0,,no_match_fwd,False
Corynebacterium pelargi,4,6,,no_match_rev,False
Pusillimonas thiosulfatoxidans,5,6,,no_match_both,False
Peribacillus simplex,4,8,,no_match_rev,False
Bradymonas sediminis,4,7,,no_match_rev,False
Psychrobacter sanguinis,5,7,,no_match_both,False
Afipia carboxidovorans,4,6,,no_match_rev,False
Parapusillimonas granuli,4,6,,no_match_rev,False
Microvirga massiliensis,4,6,,no_match_rev,False
Paracoccus haematequi,3,0,83,success,False
Castellaniella defragrans,5,1,,no_match_fwd,False
Castellaniella hirudinis,3,5,,no_match_rev,False
Hanamia caeni,5,3,,no_match_fwd,False
Camelimonas fluminis,4,6,,no_match_rev,False
Novosphingobium lubricantis,3,7,,no_match_rev,False
Alcaligenes aquatilis,5,1,,no_match_fwd,False
Caenimonas soli,4,7,,no_match_rev,False
Dokdonella ginsengisoli,3,6,,no_match_rev,False
Luteimonas padinae,4,6,,no_match_rev,False
Ramlibacter algicola,3,5,,no_match_rev,False
Halopseudomonas formosensis,5,7,,no_match_both,False
Halomonas lactosivorans,4,6,,no_match_rev,False
Paracandidimonas soli,5,0,,no_match_fwd,False
Rhodoplanes elegans,4,0,836,success,False
Bradyrhizobium centrosematis,3,3,965,success,False
Bradyrhizobium icense,4,0,485,success,False
Hyphomicrobium denitrificans,5,6,,no_match_both,False
Bradyrhizobium liaoningense,4,2,965,success,False
Alsobacter metallidurans,4,1,,no_match_order,False
Brucella pseudogrignonensis,5,1,,no_match_fwd,False
Devosia oryziradicis,3,1,379,success,False
Nitrospira japonica,5,7,,no_match_both,False
Pseudaminobacter soli,4,2,224,success,False
Paracoccus acridae,4,0,83,success,False
Paracoccus angustae,4,1,617,success,False
Brucella intermedia,5,0,,no_match_fwd,False
Oceanisphaera ostreae,5,8,,no_match_both,False
Psychrobacter pulmonis,5,7,,no_match_both,False
Pelagivirga dicentrarchi,3,1,1037,success,False
Oceanimonas smirnovii,4,7,,no_match_rev,False
Povalibacter uvarum,4,7,,no_match_rev,False
Rhizobium alvei,5,0,,no_match_fwd,False
Nitratireductor pacificus,4,6,,no_match_rev,False
Bradyrhizobium mercantei,5,0,,no_match_fwd,False
Bradyrhizobium paxllaeri,4,0,485,success,False
Bradyrhizobium viridifuturi,4,1,,no_match_order,False
Aquamicrobium ahrensii,5,6,,no_match_both,False
Aquamicrobium zhengzhouense,4,6,,no_match_rev,False
Chelativorans multitrophicus,4,1,83,success,False
Mesorhizobium amorphae,4,1,259,success,False
Mesorhizobium australicum,5,1,,no_match_fwd,False
Corynebacterium confusum,3,5,,no_match_rev,False
Nitratireductor arenosus,4,1,224,success,False
Klebsiella pneumoniae,5,7,,no_match_both,False
Geobacillus kaustophilus,6,7,,insufficient_sequence,True
Bacillus stratosphericus,6,7,,insufficient_sequence,True
Cytobacillus firmus,6,7,,no_match_both,False
Bacillus tropicus,5,7,,no_match_both,False
Sphaerobacter thermophilus,4,7,,no_match_rev,False
Kaistella treverensis,5,7,,no_match_both,False
Peribacillus frigoritolerans,4,9,,no_match_rev,False
Gelidibacter pelagius,4,7,,no_match_rev,False
Pontibacter virosus,5,7,,no_match_both,False
Pontibacter flavimaris,4,7,,no_match_rev,False
