species,mismatch_count_fwd,mismatch_count_rev,amplicon_length,status,boundary_irregular
Pseudogracilibacillus auburnensis,5,6,,no_match_order,False
Ornithinibacillus gellani,5,6,71,success,False
Cerasibacillus terrae,4,5,608,success,False
Sporosarcina pasteurii,5,6,650,success,False
Luteimonas dalianensis,4,5,,no_match_order,False
Staphylococcus arlettae,4,6,134,success,True
Ornithinibacillus halophilus,5,6,136,success,False
Enterococcus faecium,4,8,,insufficient_sequence,True
Virgibacillus kimchii,5,6,301,success,False
Oceanobacillus halotolerans,6,6,531,success,False
Paracoccus jeotgali,5,5,395,success,False
Enterococcus durans,4,8,,no_match_rev,False
Oceanisphaera avium,4,6,,no_match_order,False
Pseudothauera rhizosphaerae,4,5,388,success,False
Niallia oryzisoli,5,5,353,success,False
Bifidobacterium pullorum,5,5,,no_match_order,False
Niallia circulans,4,6,134,success,True
Ammoniphilus oxalaticus,4,6,,no_match_order,False
Halomonas gudaonensis,4,6,,no_match_order,False
Halomonas antri,5,5,,no_match_order,False
Aliibacillus thermotolerans,5,6,72,success,False
Peribacillus asahii,5,6,348,success,False
Pontibaca methylaminivorans,5,5,,no_match_order,True
Neobacillus massiliamazoniensis,6,7,,no_match_rev,False
Halomonas nitroreducens,4,6,,no_match_order,False
Halopseudomonas pertucinogena,4,6,,no_match_order,False
Halomonas desiderata,4,6,,no_match_order,False
Paracoccus alcaliphilus,4,5,1029,success,False
Pusillimonas ginsengisoli,4,5,635,success,False
Falsochrobactrum shanghaiense,4,3,744,success,False
Bacillus salipaludis,4,6,,no_match_order,False
Rhodohalobacter halophilus,5,6,195,success,False
Ammoniphilus resinae,4,6,273,success,False
Cerasibacillus quisquiliarum,6,7,,no_match_rev,False
Parabacteroides distasonis,3,4,436,success,False
Oceanobacillus picturae,5,5,49,success,False
Proteus mirabilis,5,5,,insufficient_sequence,True
Bacillus velezensis,5,6,,no_match_order,False
Sphingobacterium lactis,6,6,,no_match_order,False
Oceanicella actignis,5,6,248,success,False
Savagea serpentis,5,7,,no_match_rev,False
Alcaligenes faecalis,5,5,,no_match_order,False
Kurthia populi,5,6,351,success,False
Methylocystis echinoides,4,4,241,success,False
Halomonas tibetensis,5,5,228,success,False
Oceanobacillus halophilus,4,7,,no_match_rev,False
Neobacillus cucumis,4,5,79,success,False
Neobacillus niacini,6,7,,no_match_rev,False
Parapedobacter soli,6,7,,no_match_rev,False
Bacillus rhizoplanae,6,7,,no_match_rev,False
Oligella ureolytica,5,5,,no_match_order,False
Bacillus subtilis,4,6,1013,success,False
Neobacillus bataviensis,5,5,355,success,False
Schinkia azotoformans,5,5,214,success,False
Priestia megaterium,5,6,,no_match_order,False
Pseudomonas saudimassiliensis,3,6,34,success,False
Castellaniella ginsengisoli,4,4,,no_match_order,False
Bacillus timonensis,5,5,,no_match_order,False
Neobacillus drentensis,4,5,,no_match_order,False
Halomonas cerina,4,5,432,success,False
Paenibacillus piscarius,5,7,,no_match_rev,False
Priestia aryabhattai,5,7,,no_match_rev,False
Paenibacillus camelliae,5,6,,no_match_order,False
Denitrificimonas caeni,4,5,144,success,False
Mesobacillus maritimus,5,6,,no_match_order,False
Bacillus mesophilum,5,7,,no_match_rev,False
Neobacillus novalis,4,5,564,success,False
Bordetella petrii,5,5,275,success,False
Bacillus cereus,6,6,,no_match_order,False
Bacillus marasmi,6,7,,no_match_rev,False
Bacillus aquiflavi,5,7,,no_match_rev,False
Peribacillus huizhouensis,6,7,,no_match_rev,False
Virgibacillus byunsanensis,5,6,268,success,False
Bacillus dakarensis,5,5,41,success,False
Bacillus benzoevorans,5,6,111,success,False
Neobacillus vireti,6,6,134,success,False
Neobacillus soli,6,6,312,success,False
Neobacillus ginsengisoli,4,6,,no_match_order,False
Virgibacillus dakarensis,5,6,,no_match_order,False
Bacillus atrophaeus,4,5,989,success,False
Neobacillus pocheonensis,5,4,213,success,False
Paenibacillus rigui,5,6,,no_match_order,False
Peribacillus simplex,6,6,,no_match_order,False
Rummeliibacillus pycnus,5,7,,no_match_rev,False
Bacillus amyloliquefaciens,5,6,,no_match_order,False
Halomonas endophytica,4,5,383,success,False
Desulforamulus ruminis,4,5,102,success,False
Bacillus licheniformis,6,6,45,success,False
Cytobacillus gottheilii,6,6,226,success,False
Thiopseudomonas denitrificans,4,5,337,success,False
Bacillus halotolerans,5,5,970,success,False
Neobacillus paridis,6,5,,no_match_order,False
Lentibacillus cibarius,4,6,,no_match_order,False
Turicibacter sanguinis,4,5,,no_match_order,False
Afipia carboxidovorans,3,4,193,success,False
Microvirga massiliensis,4,4,,no_match_order,False
Paracoccus haematequi,3,7,,no_match_rev,False
Paenibacillus guangzhouensis,4,6,,no_match_order,False
Staphylococcus haemolyticus,4,6,134,success,True
Vulgatibacter incomptus,5,5,598,success,False
Paenibacillus terrigena,5,5,,no_match_order,False
Rhodohalobacter barkolensis,6,6,90,success,False
Castellaniella defragrans,5,6,104,success,False
Castellaniella hirudinis,4,4,586,success,False
Rhodococcus rhodochrous,5,6,47,success,True
Hanamia caeni,5,5,306,success,False
Turicimonas muris,5,6,,no_match_order,False
Paenibacillus contaminans,5,7,,no_match_rev,False
Paenibacillus daejeonensis,4,6,,no_match_order,False
Janibacter melonis,4,5,110,success,True
Pseudothauera nasutitermitis,4,6,297,success,False
Alcaligenes aquatilis,4,5,697,success,False
Halomonas azerbaijanica,4,6,247,success,False
Halomonas campisalis,5,4,,no_match_order,False
Anaeromyxobacter dehalogenans,5,5,287,success,False
Halopseudomonas formosensis,5,6,,no_match_order,False
Halomonas kenyensis,4,6,,no_match_order,False
Halomonas lactosivorans,4,5,108,success,False
Halomonas lysinitropha,4,5,606,success,False
Halomonas organivorans,4,5,,no_match_order,False
Paracandidimonas soli,4,5,,no_match_order,False
Labilithrix luteola,5,4,106,success,False
Rhodoplanes elegans,5,5,768,success,False
Microvirga vignae,5,4,983,success,False
Bradyrhizobium centrosematis,6,6,70,success,False
Bradyrhizobium icense,5,6,240,success,False
Hyphomicrobium denitrificans,4,4,,no_match_order,False
Bradyrhizobium liaoningense,4,3,,no_match_order,False
Brucella pseudogrignonensis,4,6,245,success,False
Pseudochrobactrum asaccharolyticum,5,5,,no_match_order,False
Pseudochrobactrum saccharolyticum,5,5,,no_match_order,False
Pseudaminobacter soli,5,6,,no_match_order,False
Paracoccus acridae,4,5,52,success,False
Brucella intermedia,4,5,,no_match_order,False
Paracoccus pantotrophus,5,5,659,success,True
Paracoccus solventivorans,4,6,,no_match_order,False
Pelagivirga dicentrarchi,4,5,395,success,False
Bradyrhizobium viridifuturi,3,5,,no_match_order,False
Aquamicrobium ahrensii,4,5,,no_match_order,False
Mesorhizobium comanense,5,5,747,success,False
Bacillus paralicheniformis,5,5,872,success,False
Paenibacillus illinoisensis,6,6,289,success,False
Paenibacillus lautus,5,7,,no_match_rev,False
Paenibacillus odorifer,6,6,251,success,False
Paenibacillus polymyxa,5,6,,no_match_order,False
Paenibacillus senegalensis,5,7,,no_match_rev,False
Paenibacillus silvae,5,6,,no_match_order,False
Paenibacillus tyrfis,6,6,96,success,False
Paenibacillus vini,4,6,,no_match_order,False
Brevibacillus fluminis,6,6,38,success,False
Brevibacillus ginsengisoli,4,5,,no_match_order,False
Brevibacillus invocatus,4,5,489,success,False
Brevibacillus reuszeri,5,6,,no_match_order,False
Paenibacillus barcinonensis,5,6,,no_match_order,False
Paenibacillus bouchesdurhonensis,6,6,252,success,False
Kurthia gibsonii,4,7,,no_match_rev,False
Macrococcus goetzii,5,6,578,success,False
