species,mismatch_count_fwd,mismatch_count_rev,amplicon_length,status,boundary_irregular
Pseudogracilibacillus auburnensis,10,8,,no_match_both,False
Ornithinibacillus gellani,9,8,,no_match_both,False
Cerasibacillus terrae,8,7,,no_match_both,False
Sporosarcina pasteurii,8,9,,no_match_both,False
Luteimonas dalianensis,6,7,,no_match_both,False
Halomonas pellis,8,7,,no_match_both,False
Staphylococcus arlettae,2,0,267,success,True
Ornithinibacillus halophilus,10,8,,no_match_both,False
Enterococcus faecium,8,9,,insufficient_sequence,True
Virgibacillus kimchii,8,8,,no_match_both,False
Oceanobacillus halotolerans,9,8,,no_match_both,False
Paracoccus jeotgali,7,8,,no_match_both,False
Enterococcus durans,10,8,,no_match_both,False
Oceanisphaera avium,9,7,,no_match_both,False
Pseudothauera rhizosphaerae,8,6,,no_match_both,False
Niallia oryzisoli,10,8,,no_match_both,False
Bifidobacterium pullorum,9,8,,no_match_both,False
Niallia circulans,2,0,267,success,True
Ammoniphilus oxalaticus,9,8,,no_match_both,False
Halomonas gudaonensis,7,6,,no_match_both,False
Halomonas antri,9,7,,no_match_both,False
Aliibacillus thermotolerans,8,9,,no_match_both,False
Peribacillus asahii,10,8,,no_match_both,False
Pontibaca methylaminivorans,7,8,,no_match_both,True
Neobacillus massiliamazoniensis,10,8,,no_match_both,False
Halomonas nitroreducens,9,5,,no_match_both,False
Halopseudomonas pertucinogena,6,6,,no_match_both,False
Halomonas desiderata,7,6,,no_match_both,False
Paracoccus alcaliphilus,7,7,,no_match_both,False
Pusillimonas ginsengisoli,7,6,,no_match_both,False
Falsochrobactrum shanghaiense,6,7,,no_match_both,False
Bacillus salipaludis,8,8,,no_match_both,False
Rhodohalobacter halophilus,9,8,,no_match_both,False
Ammoniphilus resinae,7,7,,no_match_both,False
Cerasibacillus quisquiliarum,8,8,,no_match_both,False
Parabacteroides distasonis,8,6,,no_match_both,False
Oceanobacillus picturae,10,8,,no_match_both,False
Proteus mirabilis,8,8,,insufficient_sequence,True
Bacillus velezensis,7,8,,no_match_both,False
Sphingobacterium lactis,10,9,,no_match_both,False
Oceanicella actignis,7,8,,no_match_both,False
Savagea serpentis,9,8,,no_match_both,False
Alcaligenes faecalis,6,7,,no_match_both,False
Kurthia populi,9,8,,no_match_both,False
Methylocystis echinoides,8,7,,no_match_both,False
Halomonas tibetensis,6,7,,no_match_both,False
Oceanobacillus halophilus,9,9,,no_match_both,False
Neobacillus cucumis,9,9,,no_match_both,False
Neobacillus niacini,10,10,,no_match_both,False
Parapedobacter soli,9,6,,no_match_both,False
Bacillus rhizoplanae,9,7,,no_match_both,False
Oligella ureolytica,9,7,,no_match_both,False
Bacillus subtilis,8,8,,no_match_both,False
Neobacillus bataviensis,9,6,,no_match_both,False
Schinkia azotoformans,9,8,,no_match_both,False
Priestia megaterium,9,9,,no_match_both,False
Pseudomonas saudimassiliensis,7,7,,no_match_both,False
Castellaniella ginsengisoli,6,7,,no_match_both,False
Bacillus timonensis,10,8,,no_match_both,False
Neobacillus drentensis,9,8,,no_match_both,False
Halomonas cerina,7,6,,no_match_both,False
Paenibacillus piscarius,9,8,,no_match_both,False
Priestia aryabhattai,9,8,,no_match_both,False
Paenibacillus camelliae,9,8,,no_match_both,False
Denitrificimonas caeni,10,8,,no_match_both,False
Mesobacillus maritimus,10,7,,no_match_both,False
Bacillus mesophilum,9,8,,no_match_both,False
Neobacillus novalis,8,8,,no_match_both,False
Bordetella petrii,7,8,,no_match_both,False
Bacillus cereus,10,8,,no_match_both,False
Bacillus marasmi,10,9,,no_match_both,False
Bacillus aquiflavi,9,9,,no_match_both,False
Peribacillus huizhouensis,9,8,,no_match_both,False
Virgibacillus byunsanensis,9,8,,no_match_both,False
Bacillus dakarensis,8,7,,no_match_both,False
Bacillus benzoevorans,11,8,,no_match_both,False
Neobacillus vireti,9,8,,no_match_both,False
Neobacillus soli,10,9,,no_match_both,False
Neobacillus ginsengisoli,9,8,,no_match_both,False
Virgibacillus dakarensis,8,8,,no_match_both,False
Bacillus atrophaeus,8,8,,no_match_both,False
Neobacillus pocheonensis,9,7,,no_match_both,False
Paenibacillus rigui,9,9,,no_match_both,False
Peribacillus simplex,9,9,,no_match_both,False
Rummeliibacillus pycnus,10,9,,no_match_both,False
Bacillus amyloliquefaciens,7,9,,no_match_both,False
Halomonas endophytica,7,7,,no_match_both,False
Desulforamulus ruminis,9,8,,no_match_both,False
Bacillus licheniformis,9,9,,no_match_both,False
Cytobacillus gottheilii,9,8,,no_match_both,False
Thiopseudomonas denitrificans,8,7,,no_match_both,False
Bacillus halotolerans,8,8,,no_match_both,False
Neobacillus paridis,10,9,,no_match_both,False
Lentibacillus cibarius,7,8,,no_match_both,False
Turicibacter sanguinis,9,8,,no_match_both,False
Afipia carboxidovorans,7,6,,no_match_both,False
Microvirga massiliensis,7,8,,no_match_both,False
Paracoccus haematequi,8,7,,no_match_both,False
Paenibacillus guangzhouensis,8,9,,no_match_both,False
Staphylococcus haemolyticus,2,0,267,success,True
Vulgatibacter incomptus,7,7,,no_match_both,False
Paenibacillus terrigena,9,8,,no_match_both,False
Rhodohalobacter barkolensis,10,8,,no_match_both,False
Castellaniella defragrans,7,8,,no_match_both,False
Castellaniella hirudinis,7,6,,no_match_both,False
Rhodococcus rhodochrous,8,8,,insufficient_sequence,True
Hanamia caeni,11,9,,no_match_both,False
Turicimonas muris,10,8,,no_match_both,False
Paenibacillus contaminans,8,9,,no_match_both,False
Paenibacillus daejeonensis,8,8,,no_match_both,False
Janibacter melonis,4,1,267,success,True
Pseudothauera nasutitermitis,9,8,,no_match_both,False
Alcaligenes aquatilis,6,8,,no_match_both,False
Halomonas azerbaijanica,6,7,,no_match_both,False
Halomonas campisalis,7,7,,no_match_both,False
Anaeromyxobacter dehalogenans,7,6,,no_match_both,False
Halopseudomonas formosensis,9,7,,no_match_both,False
Halomonas kenyensis,9,7,,no_match_both,False
Halomonas lactosivorans,8,6,,no_match_both,False
Halomonas lysinitropha,8,7,,no_match_both,False
Halomonas organivorans,9,6,,no_match_both,False
Paracandidimonas soli,9,8,,no_match_both,False
Labilithrix luteola,8,8,,no_match_both,False
Rhodoplanes elegans,6,7,,no_match_both,False
Microvirga vignae,7,7,,no_match_both,False
Bradyrhizobium centrosematis,8,8,,no_match_both,False
Bradyrhizobium icense,8,8,,no_match_both,False
Hyphomicrobium denitrificans,8,6,,no_match_both,False
Bradyrhizobium liaoningense,6,7,,no_match_both,False
Brucella pseudogrignonensis,8,7,,no_match_both,False
Pseudochrobactrum asaccharolyticum,7,7,,no_match_both,False
Pseudochrobactrum saccharolyticum,6,7,,no_match_both,False
Pseudaminobacter soli,6,8,,no_match_both,False
Paracoccus acridae,7,8,,no_match_both,False
Brucella intermedia,8,7,,no_match_both,False
Paracoccus pantotrophus,7,7,,no_match_both,True
Paracoccus solventivorans,8,7,,no_match_both,False
Pelagivirga dicentrarchi,7,8,,no_match_both,False
Bradyrhizobium viridifuturi,7,6,,no_match_both,False
Aquamicrobium ahrensii,7,6,,no_match_both,False
Mesorhizobium comanense,5,7,,no_match_both,False
Bacillus paralicheniformis,8,8,,no_match_both,False
Paenibacillus illinoisensis,9,8,,no_match_both,False
Paenibacillus lautus,7,9,,no_match_both,False
Paenibacillus odorifer,9,9,,no_match_both,False
Paenibacillus polymyxa,6,7,,no_match_both,False
Paenibacillus senegalensis,8,8,,no_match_both,False
Paenibacillus silvae,9,6,,no_match_both,False
Paenibacillus tyrfis,6,8,,no_match_both,False
Paenibacillus vini,9,9,,no_match_both,False
Brevibacillus fluminis,8,9,,no_match_both,False
Brevibacillus invocatus,9,8,,no_match_both,False
Brevibacillus reuszeri,8,8,,no_match_both,False
Paenibacillus barcinonensis,8,8,,no_match_both,False
Paenibacillus bouchesdurhonensis,8,9,,no_match_both,False
Kurthia gibsonii,11,9,,no_match_both,False
Macrococcus goetzii,9,8,,no_match_both,False
Macrococcus canis,8,8,,no_match_both,False
Kurthia huakuii,8,10,,no_match_both,False
Kurthia zopfii,10,9,,no_match_both,False
Savagea faecisuis,9,8,,no_match_both,False
Sporosarcina globispora,10,9,,no_match_both,False
Cytobacillus solani,10,8,,no_match_both,False
Geobacillus kaustophilus,7,7,,no_match_both,False
Bacillus cihuensis,9,9,,no_match_both,False
Lysinibacillus pakistanensis,8,10,,no_match_both,False
Lysinibacillus xylanilyticus,9,8,,no_match_both,False
Cytobacillus oceanisediminis,10,8,,no_match_both,False
