"Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Unclassified","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopostipes","Atopostipes suicloacalis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium faecium"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Yaniella","Yaniella halotolerans"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Streptosporangiales","Nocardiopsaceae","Nocardiopsis","Nocardiopsis algeriensis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Nosocomiicoccus","Nosocomiicoccus ampullae"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus pobuzihii"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus ureilyticus"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Bacillaceae","Pseudogracilibacillus","Pseudogracilibacillus auburnensis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus salivarius"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Jeotgalicoccus","Jeotgalicoccus meleagridis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium stationis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Streptosporangiales","Nocardiopsaceae","Nocardiopsis","Nocardiopsis lucentensis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Jeotgalicoccus","Jeotgalicoccus halotolerans"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium saurashtrense"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Bacillaceae","Ornithinibacillus","Ornithinibacillus gellani"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Salinicoccus","Salinicoccus kunmingensis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Mammaliicoccus","Mammaliicoccus lentus"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Streptosporangiales","Nocardiopsaceae","Nocardiopsis","Nocardiopsis nikkonensis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus crispatus"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Streptosporangiales","Nocardiopsaceae","Nocardiopsis","Nocardiopsis halotolerans"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Bacillaceae","Pseudogracilibacillus","Pseudogracilibacillus marinus"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gallinarum"
"Bacteria","Bacteria_none","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Romboutsia","Romboutsia ilealis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus johnsonii"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Streptosporangiales","Nocardiopsaceae","Nocardiopsis","Nocardiopsis salina"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Salinicoccus","Salinicoccus carnicancri"
"Bacteria","Bacteria_none","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus obesiensis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella jogaejeotgali"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium avium"
"Bacteria","Bacteria_none","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus porci"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium conglomeratum"
"Bacteria","Bacteria_none","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Romboutsia","Romboutsia timonensis"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium squillarum"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Jeotgalicoccus","Jeotgalicoccus aerolatus"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus simulans"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Ruoffia","Ruoffia tabacinasalis"
"Bacteria","Bacteria_none","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus cecorum"
"Bacteria","Bacteria_none","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Enteractinococcus","Enteractinococcus fodinae"
