species,phylum,genus,confidence_tier,old_hit_count,old_best_accession,old_best_title,new_hmm_positive,new_blast_positive,new_hmm_best_evalue,new_blast_best_evalue,diagnosis
Actinomadura bangladeshensis,Actinobacteria,Actinomadura,FULL,1,WP_163056227.1,urease subunit alpha [Actinomadura bangladeshensis],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Agathobaculum butyriciproducens,Firmicutes,Agathobaculum,FULL,1,GAA6504179.1,urease subunit alpha [Agathobaculum butyriciproducens],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Alistipes putredinis,Bacteroidota,Alistipes,FULL,2,WP_418673328.1,MULTISPECIES: urease subunit alpha [Alistipes],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Alistipes shahii,Bacteroidota,Alistipes,FULL,1,WP_195459980.1,MULTISPECIES: urease subunit alpha [Alistipes],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Alistipes timonensis,Bacteroidota,Alistipes,FULL,1,WP_462352882.1,urease subunit alpha [Alistipes timonensis],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Alkalihalobacillus lindianensis,Firmicutes,Alkalihalobacillus,FULL,1,WP_317123309.1,urease subunit alpha [Alkalihalophilus lindianensis],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Anaerostipes hadrus,Firmicutes,Anaerostipes,FULL,3,WP_487084985.1,urease subunit alpha [Anaerostipes hadrus],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Bacillus cereus,Firmicutes,Bacillus,FULL,441,WP_494429647.1,"urease subunit alpha, partial [Bacillus cereus]",False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Bacillus licheniformis,Firmicutes,Bacillus,FULL,13,WIY58258.1,urease subunit alpha [Bacillus licheniformis],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Bacillus thuringiensis,Firmicutes,Bacillus,FULL,181,GAC1137181.1,urease subunit alpha [Bacillus thuringiensis],False,False,,,"different urease-operon gene present (accessory/gamma subunit), not true ureC - not a false negative"
Bacillus toyonensis,Firmicutes,Bacillus,FULL,22,WP_259416034.1,urease subunit alpha [Bacillus toyonensis],False,False,,,"different urease-operon gene present (accessory/gamma subunit), not true ureC - not a false negative"
Bacillus tropicus,Firmicutes,Bacillus,FULL,4,WP_472264413.1,urease subunit alpha [Bacillus tropicus],False,False,,,"different urease-operon gene present (accessory/gamma subunit), not true ureC - not a false negative"
Bacillus wiedmannii,Firmicutes,Bacillus,FULL,38,WP_048544109.1,MULTISPECIES: urease subunit alpha [Bacillus],False,False,,,"different urease-operon gene present (accessory/gamma subunit), not true ureC - not a false negative"
Bacteroides koreensis,Bacteroidota,Bacteroides,FULL,1,WP_463639609.1,urease subunit alpha [Bacteroides ovatus],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Bacteroides ovatus,Bacteroidota,Bacteroides,FULL,1,WP_463639609.1,urease subunit alpha [Bacteroides ovatus],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Bifidobacterium pullorum,Actinobacteria,Bifidobacterium,FULL,3,WP_029680231.1,MULTISPECIES: urease subunit alpha [Bifidobacterium],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Brachybacterium conglomeratum,Actinobacteria,Brachybacterium,FULL,2,WP_259880605.1,MULTISPECIES: urease subunit alpha [Brachybacterium],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Brachybacterium halotolerans,Actinobacteria,Brachybacterium,FULL,1,WP_200502149.1,urease subunit alpha [Brachybacterium halotolerans],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Brevibacillus reuszeri,Firmicutes,Brevibacillus,FULL,5,WP_376909335.1,urease subunit alpha [Brevibacillus reuszeri],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Brevibacterium aurantiacum,Actinobacteria,Brevibacterium,FULL,4,WP_143923102.1,urease subunit alpha [Brevibacterium aurantiacum],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Brevibacterium permense,Actinobacteria,Brevibacterium,FULL,1,WP_262777290.1,urease subunit alpha [Brevibacterium permense],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Brevibacterium yomogidense,Actinobacteria,Brevibacterium,FULL,2,WP_087003385.1,urease subunit alpha [Brevibacterium yomogidense],False,False,,,"different urease-operon gene present (accessory/gamma subunit), not true ureC - not a false negative"
Castellaniella defragrans,Proteobacteria,Castellaniella,FULL,2,CAM5202940.1,Urease subunit alpha [Castellaniella defragrans],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Cedecea lapagei,Proteobacteria,Cedecea,FULL,1,PKA30605.1,urease subunit alpha [Cedecea lapagei],False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
Clostridium butyricum,Firmicutes,Clostridium,FULL,10,WP_367737826.1,"urease subunit alpha, partial [Clostridium butyricum]",False,False,,,"no urease-family gene at all in selected assembly - different strain than old method's hit, not a false negative"
