species,mismatch_count_fwd,mismatch_count_rev,amplicon_length,status,boundary_irregular
Brachybacterium faecium,3,5,,no_match_rev,False
Yaniella halotolerans,3,2,103,success,False
Staphylococcus ureilyticus,6,5,,no_match_both,False
Corynebacterium stationis,1,3,103,success,False
Jeotgalicoccus halotolerans,7,4,,no_match_fwd,False
Brachybacterium saurashtrense,4,4,433,off_target_position,False
Mammaliicoccus lentus,6,5,,no_match_both,False
Romboutsia ilealis,5,6,,no_match_both,False
Nocardiopsis salina,6,4,,no_match_fwd,False
Salinicoccus carnicancri,7,4,,no_match_fwd,False
Brachybacterium conglomeratum,3,6,,no_match_rev,False
Brachybacterium squillarum,4,3,103,success,False
Staphylococcus simulans,5,6,,no_match_both,False
Corynebacterium urealyticum,2,4,103,success,False
Staphylococcus cohnii,6,5,,no_match_both,False
Staphylococcus nepalensis,6,4,,no_match_fwd,False
Corynebacterium ammoniagenes,0,0,103,success,False
Lipingzhangella halophila,5,4,,no_match_fwd,False
Limosilactobacillus reuteri,3,7,,no_match_rev,False
Brachybacterium rhamnosum,4,2,103,success,False
Streptococcus alactolyticus,2,7,,no_match_rev,False
Brachybacterium halotolerans,4,4,433,off_target_position,False
Nocardiopsis kunsanensis,4,3,103,success,False
Brevibacterium oceani,6,4,,no_match_fwd,False
Anaerococcus lactolyticus,7,7,,no_match_both,False
Corynebacterium casei,1,3,103,success,False
Brachybacterium paraconglomeratum,3,6,,no_match_rev,False
Anaerococcus prevotii,6,7,,no_match_both,False
Ligilactobacillus aviarius,5,7,,no_match_both,False
Limosilactobacillus balticus,2,8,,no_match_rev,False
Mammaliicoccus sciuri,10,9,,insufficient_sequence,True
Brachybacterium zhongshanense,4,3,103,success,False
Staphylococcus saprophyticus,7,4,,no_match_fwd,False
Mammaliicoccus stepanovicii,6,5,,no_match_both,False
Limosilactobacillus agrestis,2,5,,no_match_rev,False
Corynebacterium xerosis,6,2,,no_match_fwd,False
Nocardiopsis alba,5,2,,no_match_fwd,False
Corynebacterium amycolatum,3,3,103,success,False
Georgenia muralis,3,3,103,success,False
Dietzia maris,4,1,103,success,False
Staphylococcus caeli,8,5,,no_match_both,False
Salinicoccus halodurans,7,4,,no_match_fwd,False
Brachybacterium vulturis,3,5,,no_match_rev,False
Enteractinococcus coprophilus,5,3,,no_match_fwd,False
Halomonas pellis,4,3,103,success,False
Brevibacterium atlanticum,6,4,,no_match_fwd,False
Staphylococcus arlettae,7,7,,no_match_both,False
Staphylococcus borealis,7,4,,no_match_fwd,False
Nocardiopsis coralli,6,3,,no_match_fwd,False
