species,header,phylum,coverage_frac,extracted_length,status
Pseudogracilibacillus auburnensis,Pseudogracilibacillus auburnensis|WP_110397147.1|NZ_JBHUHB010000001.1,Firmicutes,0.149,207,excluded_gap_coverage
Ornithinibacillus gellani,Ornithinibacillus gellani|WP_123316088.1|NZ_QTSZ01000029.1,Firmicutes,0.226,314,excluded_gap_coverage
Cerasibacillus terrae,Cerasibacillus terrae|CAQ6071783.1|CEVRTV010000018.1,Firmicutes,0.226,314,excluded_gap_coverage
Sporosarcina pasteurii,Sporosarcina pasteurii|XEE11172.1|CP160452.1,Firmicutes,0.226,314,excluded_gap_coverage
Luteimonas dalianensis,Luteimonas dalianensis|XUN68116.1|CP186085.1,Proteobacteria,0.133,184,excluded_gap_coverage
Halomonas pellis,Halomonas pellis|WP_149329667.1|NZ_VTPY01000007.1,Proteobacteria,0.094,130,excluded_gap_coverage
Staphylococcus arlettae,Staphylococcus arlettae|QBN20806.1|MG983072.1,Firmicutes,0.192,267,excluded_gap_coverage
Ornithinibacillus halophilus,Ornithinibacillus halophilus|WP_084063223.1|NZ_FQVW01000008.1,Firmicutes,0.129,179,excluded_gap_coverage
Virgibacillus kimchii,Virgibacillus kimchii|WP_461182849.1|NZ_AP043951.1,Firmicutes,0.167,232,excluded_gap_coverage
Oceanobacillus halotolerans,Oceanobacillus halotolerans|WP_163969554.1|NZ_WIXL01000001.1,Firmicutes,0.228,317,excluded_gap_coverage
Paracoccus jeotgali,Paracoccus jeotgali|WP_313136508.1|NZ_DAMATE010000006.1,Proteobacteria,0.226,314,excluded_gap_coverage
Enterococcus durans,Enterococcus durans|UQR07498.1|CP088203.1,Firmicutes,0.081,113,excluded_gap_coverage
Oceanisphaera avium,Oceanisphaera avium|WP_086964560.1|NZ_CP021376.1,Proteobacteria,0.151,210,excluded_gap_coverage
Pseudothauera rhizosphaerae,Pseudothauera rhizosphaerae|WP_230976768.1|NZ_SSOD01000008.1,Proteobacteria,0.115,159,excluded_gap_coverage
Niallia oryzisoli,Niallia oryzisoli|WP_394237792.1|NZ_JBHOFM010000010.1,Firmicutes,0.132,183,excluded_gap_coverage
Bifidobacterium pullorum,Bifidobacterium pullorum|GAA0853007.1|BAAACN010000101.1,Actinobacteria,0.153,213,excluded_gap_coverage
Niallia circulans,Niallia circulans|QBN20816.1|MG983082.1,Firmicutes,0.192,267,excluded_gap_coverage
Ammoniphilus oxalaticus,Ammoniphilus oxalaticus|WP_120189710.1|NZ_MCHY01000008.1,Firmicutes,0.226,314,excluded_gap_coverage
Halomonas gudaonensis,Halomonas gudaonensis|WP_089682918.1|NZ_FNES01000002.1,Proteobacteria,0.073,102,excluded_gap_coverage
Halomonas antri,Halomonas antri|WP_419976893.1|NZ_JBMAMI010000025.1,Proteobacteria,0.094,130,excluded_gap_coverage
Aliibacillus thermotolerans,Aliibacillus thermotolerans|WP_270895261.1|NZ_JBHSPF010000012.1,Firmicutes,0.156,217,excluded_gap_coverage
Peribacillus asahii,Peribacillus asahii|WP_403151517.1|NZ_JBIWHA010000003.1,Firmicutes,0.146,203,excluded_gap_coverage
Pontibaca methylaminivorans,Pontibaca methylaminivorans|WP_333683635.1|NZ_DAIPDV010000015.1,Proteobacteria,0.226,314,excluded_gap_coverage
Neobacillus massiliamazoniensis,Neobacillus massiliamazoniensis|WP_090634586.1|NZ_CVRB01000002.1,Firmicutes,0.134,186,excluded_gap_coverage
Halomonas nitroreducens,Halomonas nitroreducens|WP_342774438.1|NZ_RXNS01000007.1,Proteobacteria,0.091,127,excluded_gap_coverage
Halopseudomonas pertucinogena,Halopseudomonas pertucinogena|WP_373288230.1|NZ_BMNN01000005.1,Proteobacteria,0.226,314,excluded_gap_coverage
Halomonas desiderata,Halomonas desiderata|WP_481618932.1|NZ_CDVPMI010000002.1,Proteobacteria,0.103,143,excluded_gap_coverage
Paracoccus alcaliphilus,Paracoccus alcaliphilus|WCR18397.1|CP067124.1,Proteobacteria,0.226,314,excluded_gap_coverage
Pusillimonas ginsengisoli,Pusillimonas ginsengisoli|WP_414184041.1|NZ_JBLGTU010000003.1,Proteobacteria,0.226,314,excluded_gap_coverage
Falsochrobactrum shanghaiense,Falsochrobactrum shanghaiense|WP_109706888.1|NZ_QGDB01000004.1,Proteobacteria,0.226,314,excluded_gap_coverage
Bacillus salipaludis,Bacillus salipaludis|WP_406578883.1|NZ_JBJHQH010000001.1,Firmicutes,0.132,183,excluded_gap_coverage
Rhodohalobacter halophilus,Rhodohalobacter halophilus|WP_069131519.1|NZ_MDWE01000024.1,Balneolaeota,0.143,198,excluded_gap_coverage
Ammoniphilus resinae,Ammoniphilus resinae|WP_209810492.1|NZ_JAGGKT010000006.1,Firmicutes,0.231,320,excluded_gap_coverage
Cerasibacillus quisquiliarum,Cerasibacillus quisquiliarum|WP_146937994.1|NZ_BJXW01000021.1,Firmicutes,0.137,190,excluded_gap_coverage
Parabacteroides distasonis,Parabacteroides distasonis|QUT93879.1|CP072254.1,Bacteroidota,0.886,1230,extracted
Oceanobacillus picturae,Oceanobacillus picturae|GAQ18166.1|BBXV01000024.1,Firmicutes,0.285,396,excluded_gap_coverage
Bacillus velezensis,Bacillus velezensis|XLH14111.1|CP166492.1,Firmicutes,0.285,396,excluded_gap_coverage
Sphingobacterium lactis,Sphingobacterium lactis|WP_344675394.1|NZ_JBNHAS010000003.1,Bacteroidota,0.102,141,excluded_gap_coverage
Oceanicella actignis,Oceanicella actignis|WP_148923662.1|NZ_VNHJ01000017.1,Proteobacteria,0.154,214,excluded_gap_coverage
Savagea serpentis,Savagea serpentis|CAQ8673970.1|CEVUEV010000061.1,Firmicutes,0.12,166,excluded_gap_coverage
Alcaligenes faecalis,Alcaligenes faecalis|WP_257112553.1|NZ_CP097341.1,Proteobacteria,0.226,314,excluded_gap_coverage
Kurthia populi,Kurthia populi|WP_126989614.1|NZ_JBHUOR010000133.1,Firmicutes,0.125,174,excluded_gap_coverage
