species,genus,status,seq_len,fwd_best_pos,fwd_best_mm,rev_best_pos,rev_best_mm,category
Staphylococcus ureilyticus,Staphylococcus,no_match_both,1716,814,6,899,5,diverged_present
Jeotgalicoccus halotolerans,Jeotgalicoccus,no_match_fwd,1719,817,7,902,4,diverged_present
Mammaliicoccus lentus,Mammaliicoccus,no_match_both,1716,814,6,899,5,diverged_present
Romboutsia ilealis,Romboutsia,no_match_both,1719,817,5,902,6,diverged_present
Salinicoccus carnicancri,Salinicoccus,no_match_fwd,1719,817,7,902,4,diverged_present
Staphylococcus simulans,Staphylococcus,no_match_both,1716,814,5,899,6,diverged_present
Staphylococcus cohnii,Staphylococcus,no_match_both,1716,814,6,899,5,diverged_present
Staphylococcus nepalensis,Staphylococcus,no_match_fwd,1704,802,6,887,4,diverged_present
Limosilactobacillus reuteri,Limosilactobacillus,no_match_rev,1722,817,3,1690,7,diverged_present
Streptococcus alactolyticus,Streptococcus,no_match_rev,1722,817,2,255,7,diverged_present
Anaerococcus lactolyticus,Anaerococcus,no_match_both,1722,817,7,902,7,diverged_present
Anaerococcus prevotii,Anaerococcus,no_match_both,1722,817,6,902,7,diverged_present
Ligilactobacillus aviarius,Ligilactobacillus,no_match_both,1722,817,5,902,7,diverged_present
Limosilactobacillus balticus,Limosilactobacillus,no_match_rev,1722,817,2,255,8,diverged_present
Mammaliicoccus sciuri,Mammaliicoccus,insufficient_sequence,274,20,10,96,9,fragment_site_unreachable
Staphylococcus saprophyticus,Staphylococcus,no_match_fwd,1716,1133,7,899,4,diverged_present
Mammaliicoccus stepanovicii,Mammaliicoccus,no_match_both,1716,814,6,899,5,diverged_present
Limosilactobacillus agrestis,Limosilactobacillus,no_match_rev,1722,817,2,1469,5,diverged_present
Staphylococcus caeli,Staphylococcus,no_match_both,1716,681,8,899,5,diverged_present
Salinicoccus halodurans,Salinicoccus,no_match_fwd,1719,817,7,902,4,diverged_present
Staphylococcus arlettae,Staphylococcus,no_match_both,1716,1133,7,899,7,diverged_present
Staphylococcus borealis,Staphylococcus,no_match_fwd,1716,814,7,899,4,diverged_present
Staphylococcus edaphicus,Staphylococcus,no_match_both,1716,888,6,899,5,diverged_present
Enterococcus faecium,Enterococcus,insufficient_sequence,777,415,9,429,7,fragment_site_unreachable
Staphylococcus petrasii,Staphylococcus,no_match_both,1716,415,7,899,5,diverged_present
Anaerococcus hydrogenalis,Anaerococcus,no_match_both,1722,817,6,902,7,diverged_present
Ligilactobacillus araffinosus,Ligilactobacillus,no_match_rev,1722,817,4,720,7,diverged_present
Lederbergia lenta,Lederbergia,no_match_both,1713,811,5,896,5,diverged_present
Virgibacillus necropolis,Virgibacillus,no_match_both,1713,811,6,896,5,diverged_present
Staphylococcus gallinarum,Staphylococcus,no_match_both,1716,814,7,899,6,diverged_present
Staphylococcus caledonicus,Staphylococcus,no_match_both,1716,814,5,899,5,diverged_present
Staphylococcus schweitzeri,Staphylococcus,no_match_both,1716,814,5,899,6,diverged_present
Lederbergia galactosidilytica,Lederbergia,no_match_both,1713,811,8,896,5,diverged_present
Staphylococcus succinus,Staphylococcus,no_match_both,1716,814,7,1684,5,diverged_present
Staphylococcus hominis,Staphylococcus,no_match_both,1716,814,6,429,5,diverged_present
Staphylococcus pasteuri,Staphylococcus,no_match_both,1716,814,7,429,6,diverged_present
Staphylococcus casei,Staphylococcus,no_match_both,1716,814,7,899,7,diverged_present
Oceanobacillus damuensis,Oceanobacillus,no_match_both,1713,811,7,896,5,diverged_present
Staphylococcus roterodami,Staphylococcus,no_match_both,1716,814,7,429,6,diverged_present
Virgibacillus natechei,Virgibacillus,no_match_fwd,1719,817,7,902,3,diverged_present
Oceanobacillus polygoni,Oceanobacillus,no_match_both,1713,811,7,896,5,diverged_present
Staphylococcus carnosus,Staphylococcus,insufficient_sequence,821,415,9,429,6,fragment_site_unreachable
Staphylococcus equorum,Staphylococcus,no_match_both,1716,1133,6,1332,6,genuinely_absent
Fusicatenibacter saccharivorans,Fusicatenibacter,no_match_both,444,54,7,134,7,fragment_site_unreachable
Staphylococcus pseudoxylosus,Staphylococcus,no_match_both,1716,1133,6,899,5,diverged_present
Staphylococcus xylosus,Staphylococcus,no_match_both,1716,1133,6,899,5,diverged_present
Enterococcus casseliflavus,Enterococcus,no_match_rev,1716,814,4,899,5,diverged_present
Niallia oryzisoli,Niallia,no_match_fwd,1713,811,5,896,4,diverged_present
Mammaliicoccus fleurettii,Mammaliicoccus,no_match_both,1716,814,7,429,6,diverged_present
Staphylococcus taiwanensis,Staphylococcus,no_match_both,1716,814,6,899,5,diverged_present
Staphylococcus croceilyticus,Staphylococcus,no_match_fwd,1716,415,7,899,4,diverged_present
Staphylococcus condimenti,Staphylococcus,no_match_both,1716,814,7,899,5,diverged_present
Blautia hominis,Blautia,no_match_fwd,1719,817,6,902,4,diverged_present
Niallia endozanthoxylica,Niallia,no_match_fwd,1713,811,6,896,4,diverged_present
Niallia circulans,Niallia,no_match_both,1710,808,7,840,7,diverged_present
Lederbergia panacisoli,Lederbergia,no_match_both,1713,811,7,896,6,diverged_present
Alkalihalobacillus lindianensis,Alkalihalobacillus,no_match_both,1710,808,5,893,6,diverged_present
Agathobaculum butyriciproducens,Agathobaculum,no_match_both,696,229,7,296,7,fragment_site_unreachable
Clostridium perfringens,Clostridium,no_match_both,1719,1593,8,720,8,genuinely_absent
Anaerococcus tetradius,Anaerococcus,no_match_both,1722,817,6,902,7,diverged_present
Virgibacillus halophilus,Virgibacillus,no_match_fwd,1719,698,8,902,2,diverged_present
Virgibacillus profundi,Virgibacillus,no_match_both,1719,817,8,902,5,diverged_present
Staphylococcus warneri,Staphylococcus,no_match_both,1716,814,7,899,5,diverged_present
Lederbergia wuyishanensis,Lederbergia,no_match_both,1710,808,7,893,5,diverged_present
Staphylococcus canis,Staphylococcus,no_match_both,1716,814,6,899,5,diverged_present
Peribacillus asahii,Peribacillus,no_match_both,1710,808,7,893,6,diverged_present
Staphylococcus piscifermentans,Staphylococcus,no_match_both,1716,814,6,899,6,diverged_present
Staphylococcus simiae,Staphylococcus,no_match_both,1716,814,7,429,7,diverged_present
Staphylococcus argenteus,Staphylococcus,no_match_both,1716,814,6,899,6,diverged_present
Clostridium tertium,Clostridium,no_match_both,1719,817,5,255,7,diverged_present
Tissierella creatinini,Tissierella,no_match_rev,1719,814,4,899,7,diverged_present
Staphylococcus caprae,Staphylococcus,no_match_both,1716,814,5,429,6,diverged_present
Limosilactobacillus caviae,Limosilactobacillus,no_match_rev,1722,817,2,411,7,diverged_present
Streptococcus equinus,Streptococcus,no_match_rev,1719,814,2,899,7,diverged_present
Clostridium disporicum,Clostridium,no_match_both,1716,814,6,69,8,diverged_present
Lederbergia citrisecundus,Lederbergia,no_match_fwd,1716,811,6,896,4,diverged_present
Bacillus salipaludis,Bacillus,no_match_both,1713,811,7,714,6,diverged_present
Lederbergia citri,Lederbergia,no_match_fwd,1710,808,6,893,4,diverged_present
Sporosarcina luteola,Sporosarcina,no_match_both,1716,811,6,896,5,diverged_present
Staphylococcus debuckii,Staphylococcus,no_match_both,1716,814,6,1093,6,diverged_present
Cytobacillus depressus,Cytobacillus,no_match_both,1713,811,7,896,6,diverged_present
Blautia producta,Blautia,no_match_both,1722,817,5,902,6,diverged_present
Sporosarcina koreensis,Sporosarcina,no_match_both,1716,811,6,896,5,diverged_present
Siminovitchia acidinfaciens,Siminovitchia,no_match_both,1716,814,6,899,6,diverged_present
Oceanobacillus profundus,Oceanobacillus,no_match_both,1713,811,7,896,5,diverged_present
Clostridium saudiense,Clostridium,no_match_both,1716,814,6,899,7,diverged_present
Oceanobacillus zhaokaii,Oceanobacillus,no_match_both,1713,811,7,896,5,diverged_present
Alkalihalophilus pseudofirmus,Alkalihalophilus,no_match_both,1710,811,7,896,6,diverged_present
Lederbergia ruris,Lederbergia,no_match_both,1713,811,8,896,5,diverged_present
Bacillus velezensis,Bacillus,no_match_both,1710,811,8,896,5,diverged_present
Virgibacillus soli,Virgibacillus,no_match_both,1713,811,7,426,6,diverged_present
Oceanobacillus oncorhynchi,Oceanobacillus,no_match_both,1710,969,7,893,5,diverged_present
Halalkalibacterium halodurans,Halalkalibacterium (ex Joshi et al. 2022),no_match_both,1716,811,5,896,5,diverged_present
Staphylococcus devriesei,Staphylococcus,no_match_both,1716,814,5,899,5,diverged_present
Enterococcus ratti,Enterococcus,no_match_rev,1722,817,4,902,5,diverged_present
Neobacillus cucumis,Neobacillus,no_match_both,1713,811,8,714,6,diverged_present
Neobacillus niacini,Neobacillus,no_match_both,1713,811,6,896,6,diverged_present
Priestia flexa,Priestia,no_match_both,1710,808,6,69,7,diverged_present
Bacillus subtilis,Bacillus,no_match_both,1710,811,6,1391,6,diverged_present
Neobacillus bataviensis,Neobacillus,no_match_both,1710,808,7,893,5,diverged_present
Priestia megaterium,Priestia,no_match_rev,1710,808,4,1087,6,diverged_present
Blautia coccoides,Blautia,no_match_both,1722,817,5,902,6,diverged_present
Anaerostipes hadrus,Anaerostipes,no_match_both,1716,814,6,899,6,diverged_present
Staphylococcus chromogenes,Staphylococcus,no_match_fwd,1716,814,8,899,4,diverged_present
Sporosarcina newyorkensis,Sporosarcina,no_match_both,1719,817,7,902,6,diverged_present
Bacillus timonensis,Bacillus,no_match_both,1713,811,5,896,5,diverged_present
Zhenhengia yiwuensis,Zhenhengia,no_match_rev,1716,814,4,899,6,diverged_present
Virgibacillus halotolerans,Virgibacillus,no_match_both,1719,817,7,902,5,diverged_present
Neobacillus drentensis,Neobacillus,no_match_both,1713,811,5,896,6,diverged_present
Virgibacillus halodenitrificans,Virgibacillus,no_match_both,1713,811,6,896,6,diverged_present
Priestia aryabhattai,Priestia,no_match_rev,1710,808,4,178,6,diverged_present
Sporosarcina ureae,Sporosarcina,no_match_both,1719,817,7,902,5,diverged_present
Streptococcus infantarius,Streptococcus,no_match_rev,1722,817,4,902,7,diverged_present
Neobacillus novalis,Neobacillus,no_match_both,1713,811,7,896,7,diverged_present
Caldalkalibacillus mannanilyticus,Caldalkalibacillus,no_match_both,1710,808,6,212,6,diverged_present
Oceanobacillus rekensis,Oceanobacillus,no_match_fwd,1719,978,7,902,4,diverged_present
Bacillus marasmi,Bacillus,no_match_both,1707,808,5,318,7,diverged_present
Peribacillus huizhouensis,Peribacillus,no_match_both,1719,1524,7,899,6,diverged_present
Aquibacillus albus,Aquibacillus,no_match_both,1716,811,5,624,7,diverged_present
Bacillus benzoevorans,Bacillus,no_match_both,1713,811,6,714,6,diverged_present
Neobacillus vireti,Neobacillus,no_match_both,1713,811,6,896,6,diverged_present
Neobacillus soli,Neobacillus,no_match_both,1713,811,7,896,7,diverged_present
Neobacillus ginsengisoli,Neobacillus,no_match_both,1713,811,5,896,7,diverged_present
Bacillus atrophaeus,Bacillus,no_match_both,1710,811,6,896,6,diverged_present
Neobacillus pocheonensis,Neobacillus,no_match_both,1713,811,5,896,6,diverged_present
Staphylococcus pettenkoferi,Staphylococcus,no_match_both,1716,814,6,429,6,diverged_present
Oceanobacillus chungangensis,Oceanobacillus,no_match_both,1713,811,7,896,5,diverged_present
Psychrobacillus lasiicapitis,Psychrobacillus,no_match_both,1713,811,5,896,6,diverged_present
Paenibacillus rigui,Paenibacillus,no_match_rev,1722,805,4,1241,6,diverged_present
Cohnella luojiensis,Cohnella,no_match_rev,1713,805,3,708,6,diverged_present
Ectobacillus funiculus,Ectobacillus,no_match_both,1710,808,5,893,5,diverged_present
Peribacillus simplex,Peribacillus,no_match_fwd,1713,811,6,896,4,diverged_present
Zhenpiania hominis,Zhenpiania,no_match_both,1719,814,5,873,7,diverged_present
Enterococcus rotai,Enterococcus,no_match_both,1722,817,5,720,7,diverged_present
Lactiplantibacillus plantarum,Lactiplantibacillus,no_match_rev,1710,805,3,228,6,diverged_present
Bacillus amyloliquefaciens,Bacillus,no_match_both,1710,811,8,896,5,diverged_present
Blautia luti,Blautia,no_match_both,360,36,10,171,9,fragment_site_unreachable
Bacillus licheniformis,Bacillus,no_match_fwd,1713,811,6,896,4,diverged_present
Bacillus halotolerans,Bacillus,no_match_both,1710,811,6,714,7,diverged_present
Mesobacillus harenae,Mesobacillus,no_match_both,1710,808,6,893,6,diverged_present
Metabacillus litoralis,Metabacillus,no_match_both,1707,808,5,711,6,diverged_present
Lentibacillus juripiscarius,Lentibacillus,no_match_both,2046,1144,7,1234,7,genuinely_absent
Lysinibacillus fusiformis,Lysinibacillus,no_match_both,1716,811,5,896,7,diverged_present
Staphylococcus pseudintermedius,Staphylococcus,no_match_fwd,1716,814,7,899,4,diverged_present
Bhargavaea beijingensis,Bhargavaea,no_match_fwd,1713,811,5,896,2,diverged_present
Salicibibacter halophilus,Salicibibacter,no_match_both,1710,811,6,605,7,diverged_present
Staphylococcus haemolyticus,Staphylococcus,no_match_fwd,1716,814,7,899,4,diverged_present
Paenibacillus terrigena,Paenibacillus,no_match_fwd,1713,811,7,896,4,diverged_present
Staphylococcus hyicus,Staphylococcus,no_match_both,1716,814,7,429,7,diverged_present
Staphylococcus intermedius,Staphylococcus,no_match_both,1716,814,8,899,5,diverged_present
